id_centro,sexo,trimestre_nacimiento,anos_educ_infantil,isec,estudios_madre,repite_curso,expectativas_educ,mates_score
6,Chico,4 tr,3,-0.19574,NA,Repite,Hasta terminar los estudios obligatorios (ESO),418.17459660000003
6,Chica,3 tr,3,-1.0093,NA,No repite,Hasta terminar una carrera universitaria,372.92821100000003
6,Chica,1 tr,3,0.11598,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,448.6906886
6,Chico,1 tr,4,-1.46666,Sin estudios obligatorios,No repite,Hasta terminar una carrera universitaria,521.014876
6,Chico,4 tr,4,-0.19574,NA,Repite,No lo he pensado todavia,589.9612376
6,Chico,3 tr,4,0.21409,Bachillerato,Repite,Hasta terminar una carrera universitaria,412.3866972
6,Chico,1 tr,4,-1.51819,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar un Ciclo Formativo de grado medio,432.3633974
6,Chico,4 tr,3,0.33244,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,520.893541
6,Chico,3 tr,5,0.22102,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar los estudios obligatorios (ESO),464.1078784
6,Chica,1 tr,NA,-0.6674,Bachillerato,Repite,No lo he pensado todavia,447.3958318
6,Chica,1 tr,4,-1.18621,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar un Ciclo Formativo de grado superior,465.7669974
6,Chica,1 tr,4,0.36356,Universitarios medios,No repite,Hasta terminar Bachillerato,425.342123
6,Chico,3 tr,6,-0.77528,"Estudios obligatorios (ESO,EGB)",Repite,No lo he pensado todavia,394.8848482
6,Chico,3 tr,6,0.10671,NA,Repite,No lo he pensado todavia,337.873978
6,Chico,3 tr,6,-0.37264,"Estudios obligatorios (ESO,EGB)",Repite,No lo he pensado todavia,333.7101596
6,Chico,3 tr,4,-0.77528,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar un Ciclo Formativo de grado medio,415.5211352
6,Chico,4 tr,NA,-1.41032,Bachillerato,Repite,No lo he pensado todavia,440.739199
6,Chica,4 tr,4,0.05312,"Estudios obligatorios (ESO,EGB)",No repite,NA,435.103424
6,Chico,4 tr,5,-0.37127,Bachillerato,Repite,No lo he pensado todavia,557.935449
