DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2019,ES,418,ES51,1,288,2,6327.07676,1,2,1
2019,ES,420,ES51,1,296,2,1722.26172,1,1,1
2019,ES,423,ES51,1,296,2,1680.49342,1,1,1
2019,ES,425,ES51,1,296,2,2545.37437,1,1,1
2019,ES,426,ES51,1,303,2,3584.49760,1,1,1
2019,ES,427,ES51,1,303,2,2999.51168,1,1,1
2019,ES,430,ES51,1,303,2,3018.47864,1,1,1
2019,ES,432,ES51,1,307,2,2070.75548,1,1,1
2019,ES,433,ES51,1,307,2,2142.26384,1,1,1
2019,ES,434,ES51,1,307,2,2073.99872,1,1,1
2019,ES,436,ES51,1,312,2,4895.05081,1,2,1
2019,ES,437,ES51,1,312,2,4305.72257,1,2,1
2019,ES,438,ES51,1,312,2,2599.60183,1,2,1
2019,ES,439,ES51,1,312,2,3562.44363,1,2,1
2019,ES,442,ES51,1,312,2,4627.09602,1,2,1
2019,ES,443,ES51,1,312,2,4024.02830,1,2,1
2019,ES,445,ES51,1,318,2,3339.60180,1,1,1
2019,ES,446,ES51,1,318,2,3066.40450,1,1,1
2019,ES,447,ES51,1,318,2,2296.21919,1,1,1
2019,ES,448,ES51,1,318,2,7979.89550,1,1,1
2019,ES,449,ES51,1,320,2,3339.60180,1,1,1
2019,ES,450,ES51,1,320,2,4175.37190,1,1,1
2019,ES,451,ES51,1,324,2,1826.93981,1,2,1
2019,ES,452,ES51,1,324,2,4605.63017,1,2,1
2019,ES,453,ES51,1,324,2,4577.49126,1,2,1
2019,ES,454,ES51,1,324,2,9876.37675,1,2,1
2019,ES,455,ES51,1,324,2,4975.44161,1,2,1
2019,ES,456,ES51,1,325,2,3012.66972,1,3,1
2019,ES,458,ES51,1,325,2,2756.60115,1,3,1
2019,ES,460,ES51,1,325,2,2285.26159,1,3,1
2019,ES,461,ES51,1,325,2,2942.64098,1,3,1
2019,ES,463,ES51,1,333,2,4995.10436,1,1,1
2019,ES,464,ES51,1,333,2,2334.64075,1,1,1
2019,ES,465,ES51,1,333,2,2309.19986,1,1,1
2019,ES,466,ES51,1,333,2,6541.35497,1,1,1
2019,ES,468,ES51,1,333,2,2312.63330,1,1,1
2019,ES,470,ES51,1,336,2,4277.65734,1,1,1
2019,ES,471,ES51,1,338,2,2118.50587,1,2,1
2019,ES,472,ES51,1,338,2,2965.95895,1,2,1
2019,ES,474,ES51,1,338,2,5636.26461,1,2,1
2019,ES,475,ES51,1,338,2,4112.15953,1,2,1
2019,ES,476,ES51,1,338,2,2093.74539,1,2,1
2019,ES,477,ES51,1,344,2,6375.10982,1,1,1
2019,ES,478,ES51,1,344,2,2542.36323,1,1,1
2019,ES,479,ES51,1,344,2,5375.85066,1,1,1
2019,ES,480,ES51,1,344,2,4690.87260,1,1,1
2019,ES,481,ES51,1,344,2,3255.55893,1,1,1
2019,ES,482,ES51,1,344,2,9019.17155,1,1,1
2019,ES,483,ES51,1,344,2,5960.27356,1,1,1
2019,ES,484,ES51,1,344,2,2965.95895,1,1,1
2019,ES,485,ES51,1,349,2,2965.95895,1,1,1
2019,ES,486,ES51,1,349,2,7517.03389,1,1,1
2019,ES,487,ES51,1,349,2,6048.88746,1,1,1
2019,ES,488,ES51,1,349,2,3296.86844,1,1,1
2019,ES,489,ES51,1,349,2,2884.83617,1,1,1
2019,ES,492,ES51,1,349,2,3591.12630,1,1,1
2019,ES,493,ES51,1,349,2,5494.26506,1,1,1
2019,ES,496,ES51,1,369,2,2852.65203,1,1,1
2019,ES,497,ES51,1,369,2,1311.66596,1,1,1
